project,reserve,plot_name,plot_number,latitude,longitude,notes,sampled_trip1,sampled_trip2,sampled_trip3,sampled_trip4,sampled_trip5,vegetation type
fire_davis,Quail Ridge,recovering canopy,1,38.49357,-122.15179,,N,N,N,Y,Y,forest
fire_davis,Quail Ridge,completely burned canopy,2,38.4905,-122.14857,,N,N,N,Y,Y,forest
fire_davis,Quail Ridge,no canopy,3,38.48475,-122.14906,,N,N,N,Y,Y,grass
mathias,McLaughlin,Office,1,38.87289,-122.432648,,Y,Y,Y,Y,Y,forest
mathias,McLaughlin,Reservoir,3,38.86663,-122.427708,,Y,Y,Y,Y,Y,forest
mathias,McLaughlin,Camp Ground,2,38.874401,-122.424331,,Y,Y,Y,Y,Y,forest
fire_gage,McLaughlin,ML BURN G01 ,,38.86475632,-122.4284145,,N,N,Y,Y,Y,grass
fire_gage,McLaughlin,ML BURN G02 ,,38.8644618,-122.4283308,,N,N,Y,Y,Y,grass
fire_gage,McLaughlin,ML BURN O01 ,,38.86385592,-122.4291117,,N,N,Y,Y,Y,forest
fire_gage,McLaughlin,ML BURN O02 ,,38.86184064,-122.4296687,,N,N,Y,Y,Y,forest
fire_gage,McLaughlin,ML UNBURN G03 ,,38.87101422,-122.4301239,,N,N,Y,Y,Y,grass
fire_gage,McLaughlin,ML UNBURN G04 ,,38.87163943,-122.4212221,,N,N,Y,Y,Y,grass
fire_gage,McLaughlin,ML UNBURN O02,,38.87170755,-122.4289845,,N,N,Y,Y,Y,forest
fire_gage,McLaughlin,ML UNBURN O03 ,,38.87019113,-122.4306712,,N,N,Y,Y,Y,forest
mathias,Quail Ridge,Horse Trailer,1,38.488989,-122.151711,check,Y,Y,Y,Y,Y,forest
mathias,Quail Ridge,Shane's Pond,2,38.47763,-122.14228,,Y,Y,Y,Y,Y,forest
mathias,Quail Ridge,Field House,3,38.479995,-122.144625,,Y,Y,Y,Y,Y,forest
mathias,Point Reyes,Weather Station,1,37.970556,-122.731797,,N,Y,Y,Y,Y,chaparral 
mathias,Point Reyes,Right Fork,2,37.9709,-122.73534,,N,Y,Y,Y,Y,chaparral 
mathias,Point Reyes,Left Fork,3,37.96703,-122.73035,,N,Y,Y,Y,Y,forest
mathias,Fort Ord,Parking Spot,1,36.684908,-121.77692,,Y,N,Y,Y,Y,forest
mathias,Fort Ord,Red Bench,2,36.685532,-121.775026,,Y,N,Y,Y,Y,forest
mathias,Fort Ord,Far spot,3,36.685044,-121.774054,check,Y,N,Y,Y,Y,forest
mathias,Hastings,Ravine,1,36.38845,-121.54774,,Y,Y,Y,Y,Y,forest
mathias,Hastings,Patches ,2,36.385711,-121.551876,,Y,Y,Y,Y,Y,forest
mathias,Hastings,Riot,3,36.38415,-121.55337,,Y,Y,Y,Y,Y,forest
fire_gage,Hastings,HT BURN G02 ,,36.39362667,-121.5465606,,N,N,Y,Y,Y,grass
