reserve,round,date,site,lizard_num,lab_total_final,lab_l_final,lab_n_final,lab_l,lab_n,lab_dc_l,lab_dc_n,field_count,terms
Sedgwick,2,03/21/2021,2,1,3,0,3,0,3,0,0,3,lab = identified in lab with a microscope
Sedgwick,2,03/21/2021,2,2,20,16,4,16,4,0,0,15,l = larva
Sedgwick,2,03/21/2021,2,3,2,1,1,0,1,1,0,3,n = nymph
Sedgwick,2,03/21/2021,2,4,6,3,3,3,3,0,0,6,final = number based on field and lab counts
Sedgwick,2,03/21/2021,3,5,8,0,8,0,8,0,0,8,"dc = didn't collect, so i have a record of not collecting a tick off of a lizard (i.e. due to bent tweezers or tick was really attached to lizard and couldn't be removed without destroying tick)"
Sedgwick,2,03/21/2021,3,6,10,4,6,4,6,0,0,10,field = counted in field but prone to mistakes especially with lizards with large burdens
Sedgwick,2,03/21/2021,3,7,5,2,3,0,3,2,0,12,
Sedgwick,2,03/21/2021,1,8,16,0,16,0,16,0,0,5,
Coal Oil Point,2,03/23/2021,2,1,1,0,1,0,1,0,0,1,
Stunt Ranch,2,03/24/2021,3,1,0,0,0,0,0,0,0,0,
Stunt Ranch,2,03/24/2021,3,2,1,0,1,0,0,0,1,1,
Stunt Ranch,2,03/24/2021,3,3,5,0,5,0,5,0,0,5,
Stunt Ranch,2,03/24/2021,1,4,1,0,1,0,1,0,0,1,
Stunt Ranch,2,03/24/2021,9,5,0,0,0,0,0,0,0,NA,
Stunt Ranch,2,03/24/2021,1,6,2,0,2,0,2,0,0,2,
Stunt Ranch,2,03/24/2021,1,7,1,0,2,0,1,0,1,2,
Stunt Ranch,2,03/24/2021,1,8,0,0,0,0,0,0,0,NA,
Stunt Ranch,2,03/24/2021,3,9,2,1,1,1,0,0,1,0,
McLaughlin,3,04/07/2021,3,1,21,1,20,0,20,1,0,21,
McLaughlin,3,04/07/2021,3,2,2,0,2,0,2,0,0,2,
McLaughlin,3,04/07/2021,2,3,14,12,2,9,2,3,0,12,
McLaughlin,3,04/07/2021,2,4,3,1,2,1,2,0,0,3,
McLaughlin,3,04/07/2021,2,5,8,6,2,5,2,1,0,8,
McLaughlin,3,04/07/2021,2,6,9,5,4,5,4,0,0,9,
Quail Ridge,3,04/08/2021,3,1,10,2,8,2,8,0,0,10,
Quail Ridge,3,04/08/2021,3,2,18,4,14,1,14,3,0,18,
Quail Ridge,3,04/08/2021,3,3,19,5,14,3,14,2,0,19,
Quail Ridge,3,04/08/2021,3,4,0,0,0,0,0,0,0,0,
Fort Ord,3,04/10/2021,3,1,1,1,0,1,0,0,0,1,
Fort Ord,3,04/10/2021,3,2,0,0,0,0,0,0,0,0,
Hastings,3,04/10/2021,1,1,2,0,2,0,2,0,0,2,
Hastings,3,04/10/2021,1,2,37,25,12,17,12,8,0,34,
Hastings,3,04/10/2021,2,3,3,0,3,0,3,0,0,3,
Hastings,3,04/10/2021,2,4,0,0,0,0,0,0,0,0,
Hastings,3,04/10/2021,2,5,2,0,2,0,2,0,0,2,
Hastings,3,04/10/2021,2,6,0,0,0,0,0,0,0,0,
Hastings,3,04/10/2021,3,7,14,7,7,5,7,2,0,14,
Rancho Marino,3,04/11/2021,2,1,24,13,11,13,11,0,0,24,
Rancho Marino,3,04/11/2021,2,2,4,1,3,1,3,0,0,4,
Rancho Marino,3,04/11/2021,2,3,11,2,9,0,9,2,0,11,
Rancho Marino,3,04/11/2021,2,4,3,0,3,0,3,0,0,3,
Rancho Marino,3,04/11/2021,2,5,29,18,11,9,11,9,0,29,
Rancho Marino,3,04/11/2021,2,6,18,4,14,4,14,0,0,16,
Rancho Marino,3,04/11/2021,2,7,12,2,10,1,10,1,0,12,
Rancho Marino,3,04/11/2021,2,8,41,22,19,14,19,8,0,41,
Rancho Marino,3,04/11/2021,1,9,28,7,21,4,21,3,0,22,
Rancho Marino,3,04/11/2021,1,10,6,4,2,4,2,0,0,7,
Rancho Marino,3,04/11/2021,2,11,27,9,18,6,18,3,0,22,
Rancho Marino,3,04/11/2021,2,12,39,14,25,5,25,9,0,32,
Rancho Marino,3,04/11/2021,2,13,18,4,14,2,14,2,0,18,
Rancho Marino,3,04/11/2021,2,14,9,5,4,3,4,2,0,9,
Rancho Marino,3,04/11/2021,2,15,18,7,11,4,10,3,1,16,
Big Creek,3,04/12/2021,2,1,5,0,5,0,5,0,0,5,
Big Creek,3,04/12/2021,3,2,4,0,4,0,4,0,0,4,
Big Creek,3,04/12/2021,3,3,2,0,2,0,2,0,0,2,
Big Creek,3,04/12/2021,1,4,0,0,0,0,0,0,0,0,
Big Creek,3,04/12/2021,1,5,3,2,1,2,1,0,0,3,
Big Creek,3,04/12/2021,1,6,2,2,0,1,0,1,0,2,
Big Creek,3,04/12/2021,1,7,1,1,0,1,0,0,0,1,
Big Creek,3,04/12/2021,1,8,0,0,0,0,0,0,0,0,
Big Creek,3,04/12/2021,1,9,0,0,0,0,0,0,0,0,
Big Creek,3,04/12/2021,1,10,1,0,1,0,1,0,0,2,
Big Creek,3,04/12/2021,1,11,1,1,0,1,0,0,0,1,
Big Creek,3,04/12/2021,1,12,1,1,1,1,1,0,0,1,
Stunt Ranch,3,04/14/2021,3,1,5,2,3,1,3,1,0,5,
Stunt Ranch,3,04/14/2021,3,2,1,0,1,0,1,0,0,1,
Stunt Ranch,3,04/14/2021,3,3,1,0,1,0,1,0,0,1,
Stunt Ranch,3,04/14/2021,3,4,3,1,2,1,2,0,0,3,
Stunt Ranch,3,04/14/2021,3,5,1,0,1,0,1,0,0,1,
Stunt Ranch,3,04/14/2021,3,6,2,1,1,0,1,1,0,2,
Stunt Ranch,3,04/14/2021,1,7,7,2,5,0,5,2,0,7,
Stunt Ranch,3,04/14/2021,1,8,0,0,0,0,0,0,0,0,
Stunt Ranch,3,04/14/2021,1,9,2,0,2,0,2,0,0,2,
Stunt Ranch,3,04/14/2021,1,10,4,0,4,0,4,0,0,4,
Stunt Ranch,3,04/14/2021,1,11,3,1,2,1,1,0,1,3,
Stunt Ranch,3,04/14/2021,1,12,4,2,2,1,2,1,0,2,
Stunt Ranch,3,04/14/2021,2,13,4,0,4,0,4,0,0,4,
Stunt Ranch,3,04/14/2021,3,14,7,6,1,4,1,2,0,7,
Stunt Ranch,3,04/14/2021,3,15,8,0,8,0,8,0,0,7,
Sedgwick,3,04/15/2021,2,1,7,4,3,3,3,1,0,7,
Sedgwick,3,04/15/2021,2,2,8,6,2,3,1,3,1,7,
Sedgwick,3,04/15/2021,2,3,4,1,3,1,2,0,1,3,
Sedgwick,3,04/15/2021,2,4,2,2,0,1,0,1,0,2,
Sedgwick,3,04/15/2021,2,5,14,2,12,1,11,1,1,11,
Sedgwick,3,04/15/2021,3,6,15,2,13,1,13,1,0,14,
Sedgwick,3,04/15/2021,3,7,0,0,0,0,0,0,0,1,
Sedgwick,3,04/15/2021,3,8,7,3,4,0,4,3,0,7,
Sedgwick,3,04/15/2021,1,9,1,1,0,1,0,0,0,1,
Coal Oil Point,3,04/16/2021,2,1,0,0,0,0,0,0,0,0,
Santa Cruz Island,3,04/17/2021,1,1,0,0,0,0,0,0,0,0,
Santa Cruz Island,3,04/17/2021,1,2,2,0,2,0,2,0,0,2,
Santa Cruz Island,3,04/17/2021,3,3,4,0,4,0,4,0,0,4,
McLaughlin,4,05/05/2021,1,1,2,1,1,1,1,0,0,2,
McLaughlin,4,05/05/2021,1,2,4,2,2,2,2,0,0,5,
McLaughlin,4,05/05/2021,3,3,5,0,5,0,5,0,0,5,
McLaughlin,4,05/05/2021,3,4,13,3,10,3,10,0,0,12,
Quail Ridge,4,05/06/2021,3,1,26,8,17,4,17,4,0,26,
Quail Ridge,4,05/06/2021,3,2,9,6,3,6,3,0,0,7,
Fort Ord,4,05/07/2021,1,1,9,7,2,7,2,0,0,8,
Fort Ord,4,05/08/2021,1,2,3,1,2,1,2,0,0,3,
Fort Ord,4,05/08/2021,1,3,1,1,0,1,0,0,0,1,
Fort Ord,4,05/08/2021,1,4,2,0,2,0,2,0,0,2,
Fort Ord,4,05/08/2021,1,5,7,6,1,4,1,2,0,6,
Fort Ord,4,05/08/2021,1,6,11,10,1,8,1,2,0,11,
Fort Ord,4,05/08/2021,1,7,0,0,0,0,0,0,0,0,
Fort Ord,4,05/08/2021,1,8,24,20,4,9,4,11,0,24,
Fort Ord,4,05/08/2021,1,9,44,36,8,26,8,10,0,31,
Fort Ord,4,05/08/2021,1,10,14,10,4,7,3,3,1,14,
Fort Ord,4,05/08/2021,1,11,3,2,1,2,1,0,0,3,
Fort Ord,4,05/08/2021,3,12,0,0,0,0,0,0,0,0,
Fort Ord,4,05/08/2021,3,13,0,0,0,0,0,0,0,0,
Fort Ord,4,05/08/2021,3,14,0,0,0,0,0,0,0,0,
Fort Ord,4,05/08/2021,1,15,18,14,4,11,4,3,0,17,
Hastings,4,05/09/2021,2,1,2,2,0,0,0,2,0,2,
Hastings,4,05/09/2021,2,2,15,7,8,3,8,4,0,15,
Hastings,4,05/09/2021,2,3,0,0,0,0,0,0,0,0,
Hastings,4,05/09/2021,2,4,0,0,0,0,0,0,0,0,
Hastings,4,05/09/2021,1,5,2,0,2,0,2,0,0,2,
Hastings,4,05/09/2021,1,6,0,0,0,0,0,0,0,0,
Hastings,4,05/09/2021,1,7,26,14,12,6,12,8,0,24,
Hastings,4,05/09/2021,1,8,1,1,0,0,0,1,0,1,
Hastings,4,05/09/2021,1,9,3,1,2,0,2,1,0,2,
Hastings,4,05/09/2021,2,10,2,0,2,0,2,0,0,2,
Hastings,4,05/09/2021,2,11,0,0,0,0,0,0,0,0,
Hastings,4,05/09/2021,2,12,12,9,3,5,3,4,0,12,
Hastings,4,05/09/2021,3,13,18,16,2,12,2,4,0,16,
Hastings,4,05/09/2021,3,14,16,15,1,9,1,6,0,16,
Hastings,4,05/09/2021,3,15,3,1,2,1,2,0,0,3,
Big Creek,4,05/10/2021,1,1,0,0,0,0,0,0,0,0,
Big Creek,4,05/10/2021,3,2,0,0,0,0,0,0,0,3,
Big Creek,4,05/10/2021,3,3,1,0,1,0,1,0,0,1,
Big Creek,4,05/10/2021,3,4,1,0,1,0,1,0,0,1,
Big Creek,4,05/10/2021,2,5,3,2,1,2,1,0,0,3,
Big Creek,4,05/10/2021,2,6,3,2,1,1,1,1,0,3,
Big Creek,4,05/10/2021,2,7,4,0,4,0,4,0,0,4,
Big Creek,4,05/10/2021,3,8,5,3,2,1,2,2,0,6,
Big Creek,4,05/10/2021,3,9,1,0,1,0,1,0,0,5,
Big Creek,4,05/10/2021,3,10,9,2,7,2,7,0,0,9,
Big Creek,4,05/10/2021,3,11,1,0,1,0,1,0,0,1,
Big Creek,4,05/10/2021,3,12,7,2,5,0,5,2,0,7,
Big Creek,4,05/10/2021,1,13,1,1,0,0,0,1,0,1,
Big Creek,4,05/10/2021,1,14,2,2,0,0,0,2,0,2,
Big Creek,4,05/10/2021,1,15,0,0,0,0,0,0,0,0,
Rancho Marino,4,05/11/2021,2,1,17,4,13,2,12,2,1,17,
Rancho Marino,4,05/11/2021,1,2,6,1,5,0,5,1,0,6,
Rancho Marino,4,05/11/2021,2,3,10,1,9,1,9,0,0,9,
Rancho Marino,4,05/11/2021,2,4,9,4,5,2,5,2,0,8,
Rancho Marino,4,05/11/2021,2,5,49,37,12,31,12,6,0,49,
Rancho Marino,4,05/11/2021,2,6,21,10,11,4,11,6,0,19,
Rancho Marino,4,05/11/2021,2,7,14,12,2,9,2,3,0,13,
Rancho Marino,4,05/11/2021,2,8,23,13,10,9,10,4,0,21,
Rancho Marino,4,05/11/2021,2,9,12,8,4,3,4,5,0,12,
Rancho Marino,4,05/11/2021,2,10,4,1,3,1,3,0,0,4,
Rancho Marino,4,05/11/2021,2,11,8,6,2,1,2,5,0,8,
Rancho Marino,4,05/11/2021,2,12,10,6,4,3,4,3,,6,
Rancho Marino,4,05/11/2021,2,13,0,0,0,0,0,0,0,0,
Rancho Marino,4,05/11/2021,2,14,4,0,4,0,4,0,0,4,
Rancho Marino,4,05/11/2021,2,15,0,0,0,0,0,0,0,0,
Stunt Ranch,4,05/12/2021,3,1,1,0,1,0,1,0,0,1,
