reserve,round,date,lizard_num,count,lifestage
Sedgwick,2,3/21/21,1,0,larval
Sedgwick,2,3/21/21,1,3,nymphal
Sedgwick,2,3/21/21,2,16,larval
Sedgwick,2,3/21/21,2,4,nymphal
Sedgwick,2,3/21/21,3,1,larval
Sedgwick,2,3/21/21,3,1,nymphal
Sedgwick,2,3/21/21,4,3,larval
Sedgwick,2,3/21/21,4,3,nymphal
Sedgwick,2,3/21/21,5,0,larval
Sedgwick,2,3/21/21,5,8,nymphal
Sedgwick,2,3/21/21,6,4,larval
Sedgwick,2,3/21/21,6,6,nymphal
Sedgwick,2,3/21/21,7,2,larval
Sedgwick,2,3/21/21,7,3,nymphal
Sedgwick,2,3/21/21,8,0,larval
Sedgwick,2,3/21/21,8,16,nymphal
Coal Oil Point,2,3/23/21,1,0,larval
Coal Oil Point,2,3/23/21,1,1,nymphal
Stunt Ranch,2,3/24/21,1,0,larval
Stunt Ranch,2,3/24/21,1,0,nymphal
Stunt Ranch,2,3/24/21,2,0,larval
Stunt Ranch,2,3/24/21,2,1,nymphal
Stunt Ranch,2,3/24/21,3,0,larval
Stunt Ranch,2,3/24/21,3,5,nymphal
Stunt Ranch,2,3/24/21,4,0,larval
Stunt Ranch,2,3/24/21,4,1,nymphal
Stunt Ranch,2,3/24/21,5,0,larval
Stunt Ranch,2,3/24/21,5,0,nymphal
Stunt Ranch,2,3/24/21,6,0,larval
Stunt Ranch,2,3/24/21,6,2,nymphal
Stunt Ranch,2,3/24/21,7,1,larval
Stunt Ranch,2,3/24/21,7,0,nymphal
Stunt Ranch,2,3/24/21,8,0,larval
Stunt Ranch,2,3/24/21,8,0,nymphal
Stunt Ranch,2,3/24/21,9,2,larval
Stunt Ranch,2,3/24/21,9,1,nymphal
McLaughlin,3,4/7/21,1,1,larval
McLaughlin,3,4/7/21,1,20,nymphal
McLaughlin,3,4/7/21,2,0,larval
McLaughlin,3,4/7/21,2,2,nymphal
McLaughlin,3,4/7/21,3,12,larval
McLaughlin,3,4/7/21,3,2,nymphal
McLaughlin,3,4/7/21,4,1,larval
McLaughlin,3,4/7/21,4,2,nymphal
McLaughlin,3,4/7/21,5,6,larval
McLaughlin,3,4/7/21,5,2,nymphal
McLaughlin,3,4/7/21,6,5,larval
McLaughlin,3,4/7/21,6,4,nymphal
Quail Ridge,3,4/8/21,1,2,larval
Quail Ridge,3,4/8/21,1,8,nymphal
Quail Ridge,3,4/8/21,2,4,larval
Quail Ridge,3,4/8/21,2,14,nymphal
Quail Ridge,3,4/8/21,3,5,larval
Quail Ridge,3,4/8/21,3,14,nymphal
Quail Ridge,3,4/8/21,4,0,larval
Quail Ridge,3,4/8/21,4,0,nymphal
Fort Ord,3,4/10/21,1,1,larval
Fort Ord,3,4/10/21,1,0,nymphal
Fort Ord,3,4/10/21,2,0,larval
Fort Ord,3,4/10/21,2,0,nymphal
Hastings,3,4/10/21,1,0,larval
Hastings,3,4/10/21,1,2,nymphal
Hastings,3,4/10/21,2,25,larval
Hastings,3,4/10/21,2,12,nymphal
Hastings,3,4/10/21,3,0,larval
Hastings,3,4/10/21,3,3,nymphal
Hastings,3,4/10/21,4,0,larval
Hastings,3,4/10/21,4,0,nymphal
Hastings,3,4/10/21,5,0,larval
Hastings,3,4/10/21,5,2,nymphal
Hastings,3,4/10/21,6,0,larval
Hastings,3,4/10/21,6,0,nymphal
Hastings,3,4/10/21,7,7,larval
Hastings,3,4/10/21,7,7,nymphal
Rancho Marino,3,4/11/21,1,13,larval
Rancho Marino,3,4/11/21,1,11,nymphal
Rancho Marino,3,4/11/21,2,1,larval
Rancho Marino,3,4/11/21,2,3,nymphal
Rancho Marino,3,4/11/21,3,2,larval
Rancho Marino,3,4/11/21,3,9,nymphal
Rancho Marino,3,4/11/21,4,0,larval
Rancho Marino,3,4/11/21,4,3,nymphal
Rancho Marino,3,4/11/21,5,18,larval
Rancho Marino,3,4/11/21,5,11,nymphal
Rancho Marino,3,4/11/21,6,4,larval
Rancho Marino,3,4/11/21,6,14,nymphal
Rancho Marino,3,4/11/21,7,2,larval
Rancho Marino,3,4/11/21,7,10,nymphal
Rancho Marino,3,4/11/21,8,22,larval
Rancho Marino,3,4/11/21,8,19,nymphal
Rancho Marino,3,4/11/21,9,7,larval
Rancho Marino,3,4/11/21,9,21,nymphal
Rancho Marino,3,4/11/21,10,4,larval
Rancho Marino,3,4/11/21,10,2,nymphal
Rancho Marino,3,4/11/21,11,9,larval
Rancho Marino,3,4/11/21,11,18,nymphal
Rancho Marino,3,4/11/21,12,14,larval
