"Time","BigCreek Whale Relative Humidity Avg %","BigCreek Whale Relative Humidity Max %","BigCreek Whale Relative Humidity Min %"
"2021-01-01 00:00:00",46.94,48.66,45.86
"2021-01-01 00:10:00",47.33,48.69,45.05
"2021-01-01 00:20:00",45.32,46.74,44.31
"2021-01-01 00:30:00",46.45,48.32,45.32
"2021-01-01 00:40:00",49.18,51.76,47.11
"2021-01-01 00:50:00",49.94,51.52,47.78
"2021-01-01 01:00:00",47.42,49.94,45.79
"2021-01-01 01:10:00",46.98,47.88,46.13
"2021-01-01 01:20:00",46.74,48.66,45.08
"2021-01-01 01:30:00",46.22,48.45,45.05
"2021-01-01 01:40:00",46.44,47.47,45.22
"2021-01-01 01:50:00",46.42,47.37,45.69
"2021-01-01 02:00:00",47.31,48.18,45.69
"2021-01-01 02:10:00",46.98,47.88,45.89
"2021-01-01 02:20:00",46.52,47.64,45.86
"2021-01-01 02:30:00",45.59,46.63,44.95
"2021-01-01 02:40:00",46.02,46.5,45.39
"2021-01-01 02:50:00",46.42,47.07,45.96
"2021-01-01 03:00:00",45.4,46.84,44.58
"2021-01-01 03:10:00",45.87,46.77,44.65
"2021-01-01 03:20:00",46.71,47.61,45.82
"2021-01-01 03:30:00",46.85,47.51,46.13
"2021-01-01 03:40:00",47.87,49.16,46.54
"2021-01-01 03:50:00",51.62,56.28,48.29
"2021-01-01 04:00:00",56.72,60.49,54.29
"2021-01-01 04:10:00",65.18,67.84,60.15
"2021-01-01 04:20:00",64.95,68.21,59.01
"2021-01-01 04:30:00",58.92,62.42,53.62
"2021-01-01 04:40:00",54.87,60.36,51.26
"2021-01-01 04:50:00",51.82,54.43,50.29
"2021-01-01 05:00:00",54.27,55.44,52.58
"2021-01-01 05:10:00",58.87,64.98,53.49
"2021-01-01 05:20:00",67.02,68.45,64.95
"2021-01-01 05:30:00",66.53,68.49,64.41
"2021-01-01 05:40:00",69.76,71.99,67.61
"2021-01-01 05:50:00",72.54,73.24,71.72
"2021-01-01 06:00:00",73.87,74.99,73
"2021-01-01 06:10:00",69.94,73.61,62.55
"2021-01-01 06:20:00",63.12,65.42,61.58
"2021-01-01 06:30:00",71.78,75.67,65.49
"2021-01-01 06:40:00",79.73,82.3,75.5
"2021-01-01 06:50:00",80.2,82.7,76.64
"2021-01-01 07:00:00",71.53,76.54,67.95
"2021-01-01 07:10:00",71.21,74.28,68.55
"2021-01-01 07:20:00",73.32,75.7,71.22
"2021-01-01 07:30:00",69.57,73.1,67.95
"2021-01-01 07:40:00",69.31,71.05,67.75
"2021-01-01 07:50:00",68.63,71.45,65.76
"2021-01-01 08:00:00",71.09,74.42,65.89
"2021-01-01 08:10:00",70.6,72.46,68.86
"2021-01-01 08:20:00",68.2,68.89,67.44
"2021-01-01 08:30:00",67.71,68.79,67.07
"2021-01-01 08:40:00",69.85,74.65,67.31
"2021-01-01 08:50:00",75.06,75.97,74.12
"2021-01-01 09:00:00",76.79,77.62,76
"2021-01-01 09:10:00",74.5,76.95,69.23
"2021-01-01 09:20:00",69.72,70.58,68.92
