"Time","Fort Ord Relative Humidity Avg %","Fort Ord Relative Humidity Max %","Fort Ord Relative Humidity Min %"
"2021-01-01 00:00:00",94.1,94.5,93.6
"2021-01-01 00:10:00",93.7,93.9,93.5
"2021-01-01 00:20:00",93.8,93.9,93.5
"2021-01-01 00:30:00",93.1,93.6,92.5
"2021-01-01 00:40:00",93.1,93.6,92.7
"2021-01-01 00:50:00",93.8,94.4,93.5
"2021-01-01 01:00:00",94.7,95.4,94.2
"2021-01-01 01:10:00",94.9,95.3,94.7
"2021-01-01 01:20:00",94.9,95.3,94.5
"2021-01-01 01:30:00",94.4,94.7,94
"2021-01-01 01:40:00",93.6,94.1,93.1
"2021-01-01 01:50:00",93.1,93.8,92.6
"2021-01-01 02:00:00",94.2,94.4,93.8
"2021-01-01 02:10:00",94.4,94.6,94.2
"2021-01-01 02:20:00",94.4,94.9,94.1
"2021-01-01 02:30:00",94.3,94.9,93.8
"2021-01-01 02:40:00",94,94.5,93.8
"2021-01-01 02:50:00",94.4,94.8,94
"2021-01-01 03:00:00",94.5,94.7,94.2
"2021-01-01 03:10:00",94.1,94.3,93.8
"2021-01-01 03:20:00",93.3,93.9,92.7
"2021-01-01 03:30:00",94.3,94.6,93.8
"2021-01-01 03:40:00",94.4,94.7,94.2
"2021-01-01 03:50:00",94.5,94.9,94.2
"2021-01-01 04:00:00",94.6,95,94.2
"2021-01-01 04:10:00",94.9,95.1,94.6
"2021-01-01 04:20:00",94.5,94.8,94.3
"2021-01-01 04:30:00",94.8,95,94.6
"2021-01-01 04:40:00",95.1,95.4,94.9
"2021-01-01 04:50:00",95.3,95.4,95.1
"2021-01-01 05:00:00",95.4,95.7,95.1
"2021-01-01 05:10:00",95.2,95.3,95
"2021-01-01 05:20:00",95.1,95.4,95
"2021-01-01 05:30:00",94.9,95.1,94.8
"2021-01-01 05:40:00",94.7,94.9,94.5
"2021-01-01 05:50:00",94.5,94.7,94.4
"2021-01-01 06:00:00",94.6,94.8,94.5
"2021-01-01 06:10:00",94.6,94.8,94.4
"2021-01-01 06:20:00",94.7,94.9,94.5
"2021-01-01 06:30:00",94.6,94.8,94.4
"2021-01-01 06:40:00",94.7,94.8,94.5
"2021-01-01 06:50:00",94.8,95,94.6
"2021-01-01 07:00:00",95.1,95.3,94.9
"2021-01-01 07:10:00",94.7,95.1,94.5
"2021-01-01 07:20:00",94.3,94.6,94
"2021-01-01 07:30:00",93.9,94.1,93.8
"2021-01-01 07:40:00",93.8,94,93.5
"2021-01-01 07:50:00",93.4,93.6,93.2
"2021-01-01 08:00:00",93.4,93.6,93
"2021-01-01 08:10:00",92.7,93,92.3
"2021-01-01 08:20:00",91.8,92.4,91.3
"2021-01-01 08:30:00",91,91.5,90.2
"2021-01-01 08:40:00",90.1,90.5,89.5
"2021-01-01 08:50:00",88.4,89.5,87.2
"2021-01-01 09:00:00",86.4,87.5,85.2
"2021-01-01 09:10:00",85.2,85.9,84.4
"2021-01-01 09:20:00",84.6,85.4,83.5
"2021-01-01 09:30:00",83.1,84.7,81.8
"2021-01-01 09:40:00",81.1,82.2,79.61
"2021-01-01 09:50:00",78.75,81,76.97
"2021-01-01 10:00:00",76.7,77.71,75.54
"2021-01-01 10:10:00",75.23,76.76,73.78
"2021-01-01 10:20:00",73.34,75.47,71.88
"2021-01-01 10:30:00",72.46,74.14,71.16
