"Time","Fort Ord Air Temp 10 m Avg degC","Fort Ord Air Temp 10 m Max degC","Fort Ord Air Temp 10 m Min degC","Fort Ord Air Temp 2 m Avg degC","Fort Ord Air Temp 2 m Max degC","Fort Ord Air Temp 2 m Min degC","Fort Ord Air Temp Avg degC","Fort Ord Air Temp Delta 10m2m Avg degC","Fort Ord Air Temp Delta 10m2m Max degC","Fort Ord Air Temp Delta 10m2m Min degC","Fort Ord Air Temp Max degC","Fort Ord Air Temp Min degC","Fort Ord Rainfall mm"
"2021-01-01 00:00:00",6.36,6.677,6.026,5.097,5.25,4.833,-5.09,1.263,1.74,0.896,-4.956,-5.397,0
"2021-01-01 00:10:00",6.042,6.221,5.888,5.035,5.221,4.798,-4.982,1.008,1.224,0.845,-4.922,-5.058,0
"2021-01-01 00:20:00",5.918,6.06,5.755,4.902,5.095,4.703,-5.12,1.016,1.259,0.776,-5.057,-5.194,0
"2021-01-01 00:30:00",5.746,6.048,5.376,4.437,4.879,3.834,-5.468,1.31,1.744,0.983,-5.194,-6.006,0
"2021-01-01 00:40:00",5.482,5.678,5.23,3.705,4.145,3.384,-6.434,1.777,2.09,1.364,-6.006,-6.886,0
"2021-01-01 00:50:00",5.85,6.561,5.153,3.527,3.781,3.325,-7.091,2.323,3.072,1.589,-6.886,-7.223,0
"2021-01-01 01:00:00",6.183,6.481,5.916,3.91,4.511,3.473,-7.037,2.273,2.744,1.742,-6.612,-7.222,0
"2021-01-01 01:10:00",6.554,6.817,6.114,4.506,4.784,4.252,-6.366,2.048,2.31,1.742,-6.137,-6.646,0
"2021-01-01 01:20:00",6.861,7.087,6.536,4.835,5.089,4.468,-5.866,2.026,2.36,1.671,-5.63,-6.137,0
"2021-01-01 01:30:00",6.74,6.889,6.588,4.926,5.141,4.735,-5.56,1.814,2.085,1.585,-5.528,-5.63,0
"2021-01-01 01:40:00",6.556,6.958,6.114,4.487,4.942,4.044,-5.807,2.069,2.276,1.827,-5.596,-6.171,0
"2021-01-01 01:50:00",5.684,6.252,5.305,3.527,4.182,3.202,-6.876,2.157,2.487,1.795,-6.171,-7.422,0
"2021-01-01 02:00:00",5.333,5.564,5.053,3.601,3.835,3.281,-7.448,1.733,2.124,1.313,-7.389,-7.491,0
"2021-01-01 02:10:00",5.182,5.485,4.946,3.727,3.948,3.53,-7.418,1.454,1.744,1.226,-7.388,-7.423,0
"2021-01-01 02:20:00",5.26,5.603,5.008,3.777,4.096,3.522,-7.424,1.483,1.848,1.192,-7.388,-7.456,0
"2021-01-01 02:30:00",4.871,5.477,4.41,3.787,4.093,3.477,-7.389,1.084,1.588,0.709,-7.287,-7.558,0
"2021-01-01 02:40:00",4.178,4.531,3.953,3.368,3.667,3.14,-7.883,0.81,1.072,0.553,-7.558,-8.17,0
"2021-01-01 02:50:00",4.377,4.756,4.068,3.338,3.581,3.1,-8.21,1.039,1.348,0.744,-8.13,-8.3,0
"2021-01-01 03:00:00",4.652,4.852,4.475,3.541,3.694,3.351,-8.09,1.111,1.313,0.881,-8.03,-8.17,0
"2021-01-01 03:10:00",4.555,4.748,4.291,3.5,3.711,3.322,-8.09,1.055,1.262,0.813,-8.03,-8.17,0
