"Time","Hastings Relative Humidity Avg %","Hastings Relative Humidity Max %","Hastings Relative Humidity Min %"
"2021-01-01 00:00:00",98.2,98.4,98
"2021-01-01 00:10:00",98.3,98.5,98
"2021-01-01 00:20:00",98.3,98.6,98.2
"2021-01-01 00:30:00",98.7,99,98.4
"2021-01-01 00:40:00",98.6,98.9,98.2
"2021-01-01 00:50:00",98.5,98.8,98.3
"2021-01-01 01:00:00",98.7,99.3,98.3
"2021-01-01 01:10:00",98.7,99.1,98.3
"2021-01-01 01:20:00",98.6,98.9,98.2
"2021-01-01 01:30:00",98.8,99.1,98.4
"2021-01-01 01:40:00",98.7,98.9,98.4
"2021-01-01 01:50:00",99,99.3,98.6
"2021-01-01 02:00:00",98.7,99.1,97.9
"2021-01-01 02:10:00",99.1,99.6,98.6
"2021-01-01 02:20:00",99,99.2,98.8
"2021-01-01 02:30:00",98.9,99.1,98.6
"2021-01-01 02:40:00",99.1,99.6,98.8
"2021-01-01 02:50:00",99.2,99.5,98.9
"2021-01-01 03:00:00",99.1,99.3,98.9
"2021-01-01 03:10:00",99,99.3,98.8
"2021-01-01 03:20:00",99.3,99.9,98.9
"2021-01-01 03:30:00",99.4,99.8,99
"2021-01-01 03:40:00",99.6,100,98.8
"2021-01-01 03:50:00",99.5,99.9,99
"2021-01-01 04:00:00",99.7,100,99
"2021-01-01 04:10:00",99.2,100,98.5
"2021-01-01 04:20:00",99.5,100,98.9
"2021-01-01 04:30:00",99.8,100,99.6
"2021-01-01 04:40:00",99.7,100,99.4
"2021-01-01 04:50:00",99.6,99.9,99.3
"2021-01-01 05:00:00",99.7,100,99.3
"2021-01-01 05:10:00",100,100,99.8
"2021-01-01 05:20:00",99.3,100,98.9
"2021-01-01 05:30:00",99.5,100,98.8
"2021-01-01 05:40:00",99.3,99.8,99
"2021-01-01 05:50:00",99.9,100,99.5
"2021-01-01 06:00:00",99.5,99.9,98.9
"2021-01-01 06:10:00",99.6,100,99.4
"2021-01-01 06:20:00",99.9,100,99.6
"2021-01-01 06:30:00",99.6,100,99.3
"2021-01-01 06:40:00",99.9,100,99.6
"2021-01-01 06:50:00",99.7,100,99.3
"2021-01-01 07:00:00",99.5,100,98.9
"2021-01-01 07:10:00",99.7,100,99.3
"2021-01-01 07:20:00",99.8,100,99.3
"2021-01-01 07:30:00",99.6,100,99.3
"2021-01-01 07:40:00",99.4,99.9,99
"2021-01-01 07:50:00",99.3,99.9,99.1
"2021-01-01 08:00:00",99.5,100,99.2
"2021-01-01 08:10:00",99.4,99.6,99.2
"2021-01-01 08:20:00",99.3,99.7,98.9
"2021-01-01 08:30:00",99.5,100,99.1
"2021-01-01 08:40:00",99.6,100,99.1
"2021-01-01 08:50:00",99.6,100,98.9
"2021-01-01 09:00:00",99.7,100,98.6
"2021-01-01 09:10:00",99.1,99.7,98.4
"2021-01-01 09:20:00",98,98.9,96.3
"2021-01-01 09:30:00",95.2,96.9,92.7
"2021-01-01 09:40:00",88.1,92.7,83.1
"2021-01-01 09:50:00",80.3,84.3,75.66
"2021-01-01 10:00:00",68.65,75.52,62.18
"2021-01-01 10:10:00",59.26,62.75,55.33
"2021-01-01 10:20:00",57.63,58.72,56.21
"2021-01-01 10:30:00",55.65,57.87,53.91
"2021-01-01 10:40:00",53.06,55.26,51.6
"2021-01-01 10:50:00",50.47,51.67,48.58
"2021-01-01 11:00:00",49.58,52.44,46.11
"2021-01-01 11:10:00",47.39,50.3,45.43
"2021-01-01 11:20:00",45.44,47.6,43.57
"2021-01-01 11:30:00",43.54,45.97,41.87
"2021-01-01 11:40:00",44.3,47.45,42.44
"2021-01-01 11:50:00",43.02,46.77,41.29
"2021-01-01 12:00:00",41.75,43.32,40.1
"2021-01-01 12:10:00",42.03,46.16,40.34
"2021-01-01 12:20:00",40.57,43.92,37.96
"2021-01-01 12:30:00",40.7,43.61,37.89
"2021-01-01 12:40:00",39.84,44.12,38.53
"2021-01-01 12:50:00",39.33,41.95,37.55
"2021-01-01 13:00:00",38.45,43.16,36.46
"2021-01-01 13:10:00",36.7,39.78,33.62
"2021-01-01 13:20:00",34.87,38.36,31.05
"2021-01-01 13:30:00",34.89,37.91,31.39
"2021-01-01 13:40:00",34.86,37.4,32.6
"2021-01-01 13:50:00",34.92,38.28,32.66
"2021-01-01 14:00:00",36.45,38.61,35.1
"2021-01-01 14:10:00",36.69,39.09,35.6
"2021-01-01 14:20:00",36.74,39.46,34.69
"2021-01-01 14:30:00",37.66,39.83,35.57
"2021-01-01 14:40:00",37.96,40.85,36.72
"2021-01-01 14:50:00",39.33,41.86,37.33
"2021-01-01 15:00:00",40.71,43.35,38.88
"2021-01-01 15:10:00",41.64,44.02,40.07
"2021-01-01 15:20:00",41.78,44.16,40.03
"2021-01-01 15:30:00",40.89,44.36,37.8
"2021-01-01 15:40:00",41.2,44.9,39.7
"2021-01-01 15:50:00",44.25,45.17,43.35
"2021-01-01 16:00:00",45.93,47.4,44.77
"2021-01-01 16:10:00",48.03,49.5,46.66
"2021-01-01 16:20:00",48.93,53.49,47.68
"2021-01-01 16:30:00",51.86,54.98,49.2
"2021-01-01 16:40:00",49.68,51.47,48.56
"2021-01-01 16:50:00",51.16,52.75,49.78
"2021-01-01 17:00:00",52.68,55.4,50.53
"2021-01-01 17:10:00",58.47,60.81,54.89
"2021-01-01 17:20:00",64.09,66.7,58.99
"2021-01-01 17:30:00",67.11,68.4,66.7
"2021-01-01 17:40:00",70.88,73.41,68.33
"2021-01-01 17:50:00",75.54,78.15,71.85
"2021-01-01 18:00:00",76.53,78.47,75.38
"2021-01-01 18:10:00",78.46,80.9,76.95
"2021-01-01 18:20:00",81.7,83,80.4
"2021-01-01 18:30:00",83,83.7,81.7
"2021-01-01 18:40:00",82.7,83.1,82.2
"2021-01-01 18:50:00",83.2,83.9,82.4
"2021-01-01 19:00:00",84.6,85,83.7
"2021-01-01 19:10:00",83.8,85.1,83
"2021-01-01 19:20:00",86,86.5,85
"2021-01-01 19:30:00",87,87.3,86.4
"2021-01-01 19:40:00",87.5,88,87.1
"2021-01-01 19:50:00",87.9,88.4,87.5
"2021-01-01 20:00:00",89,89.6,88.4
"2021-01-01 20:10:00",89.9,90.7,89.4
"2021-01-01 20:20:00",89.7,90.2,89.4
"2021-01-01 20:30:00",89.8,90.2,89.5
"2021-01-01 20:40:00",90.1,90.5,89.8
"2021-01-01 20:50:00",89.9,90.2,89.7
"2021-01-01 21:00:00",90.5,90.9,89.9
"2021-01-01 21:10:00",91.2,91.4,90.8
"2021-01-01 21:20:00",91.4,91.7,91.2
"2021-01-01 21:30:00",91.9,92.6,91.4
"2021-01-01 21:40:00",92.6,93.5,92
"2021-01-01 21:50:00",92.7,93.3,92.2
"2021-01-01 22:00:00",91.2,92.4,89.5
"2021-01-01 22:10:00",89,89.5,88.4
"2021-01-01 22:20:00",89.1,89.4,88.9
"2021-01-01 22:30:00",88.6,89.1,88
"2021-01-01 22:40:00",88.2,88.5,87.7
"2021-01-01 22:50:00",87.2,87.8,86.6
"2021-01-01 23:00:00",86.6,87.4,86
"2021-01-01 23:10:00",85.2,86.2,84.6
"2021-01-01 23:20:00",85.4,85.7,84.9
"2021-01-01 23:30:00",84.8,85.6,84.1
"2021-01-01 23:40:00",84.7,86,81.3
"2021-01-01 23:50:00",80.6,82.6,77.07
"2021-01-02 00:00:00",83.9,84.5,82.5
"2021-01-02 00:10:00",84.7,85.2,84.2
"2021-01-02 00:20:00",85.3,85.7,85
"2021-01-02 00:30:00",84.9,85.6,84.5
"2021-01-02 00:40:00",84.4,84.8,83.4
"2021-01-02 00:50:00",82.2,83.3,80.4
"2021-01-02 01:00:00",81.4,82.1,80.5
"2021-01-02 01:10:00",81.8,82.3,81.1
"2021-01-02 01:20:00",81.3,82.5,79.78
"2021-01-02 01:30:00",81.8,82.6,81.2
"2021-01-02 01:40:00",82.2,82.9,81.5
"2021-01-02 01:50:00",83.6,84,82.9
"2021-01-02 02:00:00",84.3,84.8,83.5
"2021-01-02 02:10:00",84.5,84.7,84.2
"2021-01-02 02:20:00",84.4,84.8,83.8
"2021-01-02 02:30:00",83.5,84.1,83.2
"2021-01-02 02:40:00",84,84.6,83.5
"2021-01-02 02:50:00",84.1,84.5,83.5
"2021-01-02 03:00:00",84.5,84.7,84
"2021-01-02 03:10:00",84.5,84.7,84.3
"2021-01-02 03:20:00",84.3,84.9,83.7
"2021-01-02 03:30:00",85.4,86.1,84.7
"2021-01-02 03:40:00",86.1,86.4,85.8
"2021-01-02 03:50:00",86.4,87.2,85.7
"2021-01-02 04:00:00",87.3,87.9,86.9
"2021-01-02 04:10:00",87.6,87.9,87.4
"2021-01-02 04:20:00",87.9,88.3,87.6
"2021-01-02 04:30:00",87.8,88,87.5
"2021-01-02 04:40:00",88.1,88.7,87.7
"2021-01-02 04:50:00",88.1,88.4,87.8
"2021-01-02 05:00:00",88,88.3,87.7
"2021-01-02 05:10:00",88,88.2,87.8
"2021-01-02 05:20:00",87.8,88.1,87.6
"2021-01-02 05:30:00",88.1,88.5,87.6
"2021-01-02 05:40:00",88.6,89,88.2
"2021-01-02 05:50:00",88.2,88.6,88
"2021-01-02 06:00:00",88,88.5,87.6
"2021-01-02 06:10:00",86.8,87.8,85.2
"2021-01-02 06:20:00",85.2,85.4,85
"2021-01-02 06:30:00",85.3,85.7,84.9
"2021-01-02 06:40:00",86.1,86.4,85.5
"2021-01-02 06:50:00",86.6,87.1,86.2
"2021-01-02 07:00:00",87.8,88.4,87
"2021-01-02 07:10:00",87.8,88,87.4
"2021-01-02 07:20:00",87.5,87.8,87.2
"2021-01-02 07:30:00",87.4,87.8,87
"2021-01-02 07:40:00",86.6,87.2,86.1
"2021-01-02 07:50:00",86.2,86.8,85.8
"2021-01-02 08:00:00",85.2,86,84.8
"2021-01-02 08:10:00",84.6,85,84.2
"2021-01-02 08:20:00",81.9,84.4,76.71
"2021-01-02 08:30:00",78.34,80.4,76.51
"2021-01-02 08:40:00",79.84,80.5,78
"2021-01-02 08:50:00",71.84,77.86,67.23
"2021-01-02 09:00:00",68.59,71.02,66.76
"2021-01-02 09:10:00",67.64,70.47,64.65
"2021-01-02 09:20:00",65.76,69.25,63.02
"2021-01-02 09:30:00",58.57,62.95,53.98
"2021-01-02 09:40:00",58.11,61.35,56.04
"2021-01-02 09:50:00",58.22,60.91,55.5
"2021-01-02 10:00:00",54.5,58.21,50.42
"2021-01-02 10:10:00",53.24,56.27,49.94
"2021-01-02 10:20:00",50.94,54.81,49.46
"2021-01-02 10:30:00",54.55,56.5,52.36
"2021-01-02 10:40:00",52.79,55.47,50.47
"2021-01-02 10:50:00",49.5,51.89,48.1
"2021-01-02 11:00:00",49.18,51.82,47.59
"2021-01-02 11:10:00",48.09,50.33,47.08
"2021-01-02 11:20:00",54.53,56.99,49.32
"2021-01-02 11:30:00",57,58.51,55.63
"2021-01-02 11:40:00",59.93,62.83,56.14
"2021-01-02 11:50:00",59.86,63.1,56.13
"2021-01-02 12:00:00",58.54,59.99,57.21
"2021-01-02 12:10:00",57.87,60.05,54.64
"2021-01-02 12:20:00",55.48,56.71,54.38
"2021-01-02 12:30:00",54.36,55.46,53.23
"2021-01-02 12:40:00",54.53,55.59,53.97
"2021-01-02 12:50:00",55.37,56.94,54.51
"2021-01-02 13:00:00",55.89,58.97,54.84
"2021-01-02 13:10:00",62.24,65.16,59.17
"2021-01-02 13:20:00",64.37,65.43,63.4
"2021-01-02 13:30:00",63.52,65.26,62.21
"2021-01-02 13:40:00",64.29,66.27,62.49
"2021-01-02 13:50:00",65.57,66.68,64.58
"2021-01-02 14:00:00",66.11,67.22,64.78
"2021-01-02 14:10:00",67,67.73,66.61
"2021-01-02 14:20:00",66.55,67.83,66
"2021-01-02 14:30:00",67.26,67.83,66.54
"2021-01-02 14:40:00",67.49,68.5,64.58
"2021-01-02 14:50:00",62.77,66.48,60.25
"2021-01-02 15:00:00",60.38,61.54,59.41
"2021-01-02 15:10:00",60.7,61.67,60.12
"2021-01-02 15:20:00",61.13,62.15,60.39
"2021-01-02 15:30:00",69.77,73.17,61.71
"2021-01-02 15:40:00",72.6,72.97,72.36
"2021-01-02 15:50:00",73.4,74.67,72.36
"2021-01-02 16:00:00",75.51,76.73,74.46
"2021-01-02 16:10:00",78.68,79.74,76.7
"2021-01-02 16:20:00",80.2,80.6,79.57
"2021-01-02 16:30:00",80.4,80.7,80.1
"2021-01-02 16:40:00",81.3,81.8,80.4
"2021-01-02 16:50:00",82.2,82.9,81.6
"2021-01-02 17:00:00",83.2,83.4,82.9
"2021-01-02 17:10:00",83.6,84.6,82.9
"2021-01-02 17:20:00",84.7,84.8,84.6
"2021-01-02 17:30:00",85.5,86.6,84.7
"2021-01-02 17:40:00",87.2,87.8,86.5
"2021-01-02 17:50:00",88.1,88.9,87.6
"2021-01-02 18:00:00",89.3,89.8,88.9
"2021-01-02 18:10:00",90.4,91.1,89.7
"2021-01-02 18:20:00",91.6,92.3,90.9
"2021-01-02 18:30:00",92.5,92.7,92.1
"2021-01-02 18:40:00",92.5,92.7,92.4
"2021-01-02 18:50:00",92.7,92.8,92.5
"2021-01-02 19:00:00",93.2,94,92.6
"2021-01-02 19:10:00",94.4,95,93.9
"2021-01-02 19:20:00",95.6,96.2,94.8
"2021-01-02 19:30:00",96.2,96.4,95.9
"2021-01-02 19:40:00",96.5,96.8,96.2
"2021-01-02 19:50:00",97.1,97.6,96.6
"2021-01-02 20:00:00",97.8,98.1,97.6
"2021-01-02 20:10:00",98.2,98.4,97.9
"2021-01-02 20:20:00",98.5,98.7,98.2
"2021-01-02 20:30:00",99,99.2,98.7
"2021-01-02 20:40:00",99.3,99.5,99
"2021-01-02 20:50:00",99.4,99.6,99.2
"2021-01-02 21:00:00",99.4,99.6,99.2
"2021-01-02 21:10:00",99.5,99.7,99.3
"2021-01-02 21:20:00",99.6,99.7,99.4
"2021-01-02 21:30:00",99.7,99.8,99.5
"2021-01-02 21:40:00",99.6,99.8,99.5
"2021-01-02 21:50:00",99.6,99.8,99.4
"2021-01-02 22:00:00",99.6,99.7,99.5
"2021-01-02 22:10:00",99.6,99.8,99.5
"2021-01-02 22:20:00",99.7,99.8,99.5
"2021-01-02 22:30:00",99.7,99.8,99.5
"2021-01-02 22:40:00",99.6,99.7,99.5
"2021-01-02 22:50:00",99.6,99.8,99.5
"2021-01-02 23:00:00",99.8,99.9,99.6
"2021-01-02 23:10:00",99.7,99.9,99.6
"2021-01-02 23:20:00",99.7,99.9,99.6
"2021-01-02 23:30:00",99.8,99.9,99.6
"2021-01-02 23:40:00",99.8,100,99.7
"2021-01-02 23:50:00",99.9,100,99.7
"2021-01-03 00:00:00",99.8,99.9,99.7
"2021-01-03 00:10:00",99.9,100,99.7
"2021-01-03 00:20:00",99.8,100,99.7
"2021-01-03 00:30:00",99.7,99.9,99.2
"2021-01-03 00:40:00",99.4,99.6,99.2
"2021-01-03 00:50:00",99.2,99.5,99
"2021-01-03 01:00:00",98.7,99.2,98.3
"2021-01-03 01:10:00",98,98.4,97.4
"2021-01-03 01:20:00",96.3,97.6,94.5
"2021-01-03 01:30:00",93.8,94.6,93.4
"2021-01-03 01:40:00",93.4,93.8,92.9
"2021-01-03 01:50:00",92.6,92.9,92.3
"2021-01-03 02:00:00",93.3,93.8,92.7
"2021-01-03 02:10:00",93,93.6,92.7
"2021-01-03 02:20:00",93.3,93.6,92.9
"2021-01-03 02:30:00",93.6,93.9,93.3
"2021-01-03 02:40:00",93.6,93.9,93.3
"2021-01-03 02:50:00",93.9,94.1,93.6
"2021-01-03 03:00:00",94.3,94.7,93.8
"2021-01-03 03:10:00",94.6,94.9,94.4
"2021-01-03 03:20:00",94.8,95.2,94.6
"2021-01-03 03:30:00",95,95.3,94.8
"2021-01-03 03:40:00",95.4,95.8,95.1
"2021-01-03 03:50:00",95.8,96,95.4
"2021-01-03 04:00:00",96,96.3,95.5
"2021-01-03 04:10:00",96.6,97,96.1
"2021-01-03 04:20:00",96.5,97,96.2
"2021-01-03 04:30:00",96.6,96.9,96.4
"2021-01-03 04:40:00",96.7,97,96.3
"2021-01-03 04:50:00",96.7,96.9,96.4
"2021-01-03 05:00:00",96.9,97.1,96.6
"2021-01-03 05:10:00",97,97.2,96.8
"2021-01-03 05:20:00",97.1,97.4,97
"2021-01-03 05:30:00",97.2,97.4,97
"2021-01-03 05:40:00",97.4,97.8,97.1
"2021-01-03 05:50:00",97.7,98,97.4
"2021-01-03 06:00:00",97.7,98.1,97.2
"2021-01-03 06:10:00",97.8,98.1,97.5
"2021-01-03 06:20:00",97.8,98.1,97.5
"2021-01-03 06:30:00",97.8,98,97.5
"2021-01-03 06:40:00",98,98.5,97.7
"2021-01-03 06:50:00",97.9,98.3,97.6
"2021-01-03 07:00:00",97.9,98.1,97.7
"2021-01-03 07:10:00",98.1,108.1,97.9
"2021-01-03 07:20:00",98.1,98.4,97.9
"2021-01-03 07:30:00",98.2,98.4,98
"2021-01-03 07:40:00",98.3,98.6,98.1
"2021-01-03 07:50:00",98.4,98.6,98.1
"2021-01-03 08:00:00",98.5,98.7,98.3
"2021-01-03 08:10:00",98.6,98.7,98.4
"2021-01-03 08:20:00",98.7,98.9,98.5
"2021-01-03 08:30:00",98.9,99,98.6
"2021-01-03 08:40:00",99.1,99.4,98.7
"2021-01-03 08:50:00",99.2,99.7,98.8
"2021-01-03 09:00:00",99.5,99.7,99.3
"2021-01-03 09:10:00",99.4,99.7,99.3
"2021-01-03 09:20:00",99.5,99.7,99.3
"2021-01-03 09:30:00",99.1,99.6,98.7
"2021-01-03 09:40:00",98.9,99.3,98
"2021-01-03 09:50:00",95.4,98,93.3
"2021-01-03 10:00:00",91.1,93.5,88.5
"2021-01-03 10:10:00",83.1,88.5,74.27
"2021-01-03 10:20:00",70.45,74.27,68.59
"2021-01-03 10:30:00",66.2,68.69,62.83
"2021-01-03 10:40:00",60.59,62.83,59.37
"2021-01-03 10:50:00",58.45,59.44,57.13
"2021-01-03 11:00:00",56.8,58.42,54.56
"2021-01-03 11:10:00",55.66,57.13,53.61
"2021-01-03 11:20:00",52.34,54.48,50.97
"2021-01-03 11:30:00",50.9,53.94,48.87
"2021-01-03 11:40:00",49.48,51.71,48.05
"2021-01-03 11:50:00",49.08,52.99,47.37
"2021-01-03 12:00:00",48.58,51.84,46.69
"2021-01-03 12:10:00",47.92,50.07,45.33
"2021-01-03 12:20:00",46.61,48.81,44.92
"2021-01-03 12:30:00",45.86,49.65,43.5
