"Time","Sedgwick Relative Humidity Avg %","Sedgwick Relative Humidity Max %","Sedgwick Relative Humidity Min %"
"2021-01-01 00:00:00",74,74.9,72.99
"2021-01-01 00:10:00",74.25,75.71,73.42
"2021-01-01 00:20:00",77.35,78.77,75.64
"2021-01-01 00:30:00",76.48,77.9,74.74
"2021-01-01 00:40:00",76.71,77.73,75.04
"2021-01-01 00:50:00",78.94,80.5,77.53
"2021-01-01 01:00:00",80.2,81.4,78.6
"2021-01-01 01:10:00",78.13,79.18,77.09
"2021-01-01 01:20:00",80.3,82.5,78.14
"2021-01-01 01:30:00",77.73,79.36,76.19
"2021-01-01 01:40:00",80.7,82.7,79.15
"2021-01-01 01:50:00",81.3,82.9,79.5
"2021-01-01 02:00:00",80.2,83.5,79.06
"2021-01-01 02:10:00",81.1,83.5,79.43
"2021-01-01 02:20:00",80.9,82.6,79.06
"2021-01-01 02:30:00",80.3,80.6,79.84
"2021-01-01 02:40:00",79.57,80.9,77.79
"2021-01-01 02:50:00",81.2,84.2,78.83
"2021-01-01 03:00:00",80,84.4,77.35
"2021-01-01 03:10:00",79.08,80.9,77.45
"2021-01-01 03:20:00",80.5,83.6,76.95
"2021-01-01 03:30:00",76.96,78.09,76.34
"2021-01-01 03:40:00",76.47,80.1,71.46
"2021-01-01 03:50:00",74.56,75.8,72.91
"2021-01-01 04:00:00",77.78,79.17,75
"2021-01-01 04:10:00",77.53,80.8,74.86
"2021-01-01 04:20:00",78.25,80.6,75.2
"2021-01-01 04:30:00",78.85,81.2,77.25
"2021-01-01 04:40:00",79.5,81,78.26
"2021-01-01 04:50:00",78.69,80.3,77.38
"2021-01-01 05:00:00",80.3,84.6,77.08
"2021-01-01 05:10:00",84.1,85.9,82.5
"2021-01-01 05:20:00",85,87.3,83.3
"2021-01-01 05:30:00",85.1,86,84.2
"2021-01-01 05:40:00",84.6,86.4,82.1
"2021-01-01 05:50:00",84.7,86.1,82.1
"2021-01-01 06:00:00",85.9,86.2,85.4
"2021-01-01 06:10:00",85.8,86.6,84.5
"2021-01-01 06:20:00",83.3,84.6,82.4
"2021-01-01 06:30:00",82.7,83.6,80.9
"2021-01-01 06:40:00",81.9,84.2,79.97
"2021-01-01 06:50:00",81.8,84.3,78.96
"2021-01-01 07:00:00",81,84.5,79.33
"2021-01-01 07:10:00",82.3,85.5,79.63
"2021-01-01 07:20:00",77.47,80.5,75.22
"2021-01-01 07:30:00",78.76,81.4,75.63
"2021-01-01 07:40:00",76.99,82.6,72.66
"2021-01-01 07:50:00",75.26,77.63,72.66
