"Time","Sedgwick Air Temp 10 m Avg degC","Sedgwick Air Temp 10 m Max degC","Sedgwick Air Temp 10 m Min degC","Sedgwick Air Temp 2 m Avg degC","Sedgwick Air Temp 2 m Max degC","Sedgwick Air Temp 2 m Min degC","Sedgwick Air Temp Avg degC","Sedgwick Air Temp Delta 10m2m Avg degC","Sedgwick Air Temp Delta 10m2m Max degC","Sedgwick Air Temp Delta 10m2m Min degC","Sedgwick Air Temp Max degC","Sedgwick Air Temp Min degC","Sedgwick Rainfall mm"
"2021-01-01 00:00:00",5.443,6.327,4.837,4.561,4.889,4.232,4.651,0.882,1.786,0.395,4.848,4.478,0
"2021-01-01 00:10:00",4.675,5.708,3.602,4.026,4.858,3.128,4.28,0.649,1.687,-0.086,4.646,3.537,0
"2021-01-01 00:20:00",4.33,5.173,3.607,3.516,4.179,3.197,3.464,0.814,1.343,0.138,3.772,3.301,0
"2021-01-01 00:30:00",4.863,5.259,4.443,3.828,4.34,3.246,3.849,1.035,1.721,0.533,4.108,3.638,0
"2021-01-01 00:40:00",4.309,5.312,3.101,3.228,4.082,2.655,3.429,1.082,1.876,0.293,3.873,2.898,0
"2021-01-01 00:50:00",3.327,4.1,2.894,2.321,2.756,1.915,2.547,1.006,1.674,0.466,2.999,2.091,0
"2021-01-01 01:00:00",3.604,4.261,2.981,2.731,3.2,2.057,2.558,0.873,1.534,0.465,3.033,2.091,0
"2021-01-01 01:10:00",3.039,3.829,2.436,2.643,3.246,2.225,2.819,0.395,1.035,-0.017,3.135,2.465,0
"2021-01-01 01:20:00",3.423,4.335,2.329,2.677,3.552,1.777,2.548,0.746,1.43,0.207,3.173,2.096,0
"2021-01-01 01:30:00",3.171,4.178,2.509,2.581,3.406,2.066,2.814,0.591,1.122,0.052,3.241,2.334,0
"2021-01-01 01:40:00",3.113,3.821,2.507,2.296,2.654,1.954,2.367,0.817,1.552,0.328,2.503,2.234,0
"2021-01-01 01:50:00",3.502,4.312,2.605,2.511,2.922,2.035,2.506,0.991,2.086,0.38,2.709,2.302,0
"2021-01-01 02:00:00",3.658,4.344,3.224,2.389,2.923,1.722,2.523,1.269,2.536,0.483,2.777,2.105,0
"2021-01-01 02:10:00",3.542,4.281,2.808,2.472,3.058,2.137,2.517,1.07,1.949,0.345,2.71,2.307,0
"2021-01-01 02:20:00",3.559,4.076,2.826,2.331,2.869,1.807,2.444,1.229,1.673,0.708,2.677,2.105,0
"2021-01-01 02:30:00",3.219,3.68,2.789,2.275,2.473,2.052,2.291,0.945,1.38,0.466,2.408,2.072,0
"2021-01-01 02:40:00",3.289,4.08,1.981,2.228,2.701,1.638,2.334,1.061,1.69,0.121,2.509,2.139,0
